   1      0   movebox    1   channel     0    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  1   1|
   1      0   movebox    2   channel     1    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  2   2|
   1      0   movebox    3   channel     2    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  3   3|
   1      0   movebox    4   channel     3    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1      0   movebox    4   channel     4    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1      0   movebox    1   channel     5    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  1   1|
   1      0   movebox    2   channel     6    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  2   2|
   1      0   movebox    3   channel     7    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  3   3|
   1      0   movebox    4   channel     8    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1      0   movebox    4   channel     9    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1      8   movebox    1   channel    10    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  1   1|
   1      8   movebox    2   channel    11    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  2   2|
   1      8   movebox    3   channel    12    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  3   3|
   1      8   movebox    4   channel    13    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1      8   movebox    4   channel    14    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1      8   movebox    1   channel    15    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  1   1|
   1      8   movebox    2   channel    16    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  2   2|
   1      8   movebox    3   channel    17    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  3   3|
   1      8   movebox    4   channel    18    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1      8   movebox    4   channel    19    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1     16   movebox    1   channel    20    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  1   1|
   1     16   movebox    2   channel    21    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  2   2|
   1     16   movebox    3   channel    22    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  3   3|
   1     16   movebox    4   channel    23    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1     16   movebox    4   channel    24    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1     16   movebox    1   channel    25    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  1   1|
   1     16   movebox    2   channel    26    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  2   2|
   1     16   movebox    3   channel    27    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  3   3|
   1     16   movebox    4   channel    28    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1     16   movebox    4   channel    29    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1     24   movebox    1   channel    30    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  1   1|
   1     24   movebox    2   channel    31    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  2   2|
   1     24   movebox    3   channel    32    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  3   3|
   1     24   movebox    4   channel    33    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1     24   movebox    4   channel    34    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1     24   movebox    1   channel    35    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  1   1|
   1     24   movebox    2   channel    36    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  2   2|
   1     24   movebox    3   channel    37    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  3   3|
   1     24   movebox    4   channel    38    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1     24   movebox    4   channel    39    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1     32   movebox    1   channel    40    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  1   1|
   1     32   movebox    2   channel    41    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  2   2|
   1     32   movebox    3   channel    42    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  3   3|
   1     32   movebox    4   channel    43    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1     32   movebox    4   channel    44    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1     32   movebox    1   channel    45    channellen   1    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  1   1|
   1     32   movebox    2   channel    46    channellen   2    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  2   2|
   1     32   movebox    3   channel    47    channellen   3    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  3   3|
   1     32   movebox    4   channel    48    channellen   4    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
   1     32   movebox    4   channel    49    channellen   5    |   -   |   -   |   -   |   -   |   -   |   -   |   -   |  4   4|
